product_id,pharmacy_id,stock,price
7639,1,12,2826
4966,1,4,29322
1392,1,19,10276
8615,1,11,13207
7951,1,98,25737
11273,1,36,40425
6130,1,55,2337
8642,1,67,30893
3786,1,29,44
6113,1,17,15315
9390,2,75,4302
8423,2,65,47262
3237,2,94,32368
988,2,28,27320
7141,2,2,10193
8142,2,100,27986
7597,2,66,43841
4452,2,88,16153
10648,2,22,8901
10541,2,85,43028
10232,3,60,35215
9301,3,4,14170
4214,3,98,30583
8663,3,59,22199
1524,3,91,40302
5401,3,15,28551
8004,3,17,33595
2896,3,6,14604
6109,3,92,7328
2876,3,54,44367
6433,4,65,37336
2200,4,33,33981
5800,4,26,16929
10894,4,3,40189
11439,4,90,41729
5482,4,18,22111
1924,4,72,17100
8741,4,34,25566
3372,4,5,20553
438,4,48,37664
11022,5,78,32878
6815,5,95,48691
1565,5,24,38301
1458,5,25,13875
11517,5,82,14446
3423,5,59,15748
4670,5,25,11354
8687,5,16,2127
9938,5,27,29951
748,5,15,47694
6740,6,7,20896
6555,6,58,9450
94,6,7,3889
993,6,1,11085
11171,6,26,10405
5608,6,95,48780
8605,6,66,17136
316,6,93,44913
1152,6,48,3775
3379,6,7,3795
9588,7,11,1232
8687,7,54,3512
5077,7,77,27321
7725,7,33,48156
1665,7,85,20540
8976,7,38,17575
9921,7,37,39685
10661,7,57,32261
7487,7,69,40265
7714,7,1,18713
7725,8,80,1392
7164,8,52,18730
5130,8,17,19542
3710,8,7,47587
3689,8,81,37317
9616,8,94,6592
4714,8,25,39593
11592,8,73,47812
11380,8,45,23733
378,8,1,23045
10505,9,23,15309
6440,9,42,24599
5745,9,55,6186
3064,9,34,9172
6861,9,35,20359
2229,9,20,2214
5223,9,93,19399
11920,9,25,3327
6959,9,64,43049
440,9,41,30579
2930,10,59,25420
4962,10,27,13120
560,10,98,41872
6860,10,25,27606
5288,10,85,19393
9325,10,34,33423
10691,10,26,7096
8271,10,79,13992
9373,10,51,31919
4741,10,86,31783
9303,11,91,36095
5431,11,46,41001
9738,11,77,28123
9073,11,29,16535
9427,11,38,12168
3916,11,84,41027
9544,11,12,31277
4825,11,68,32983
5920,11,84,12990
179,11,21,21208
10934,12,92,4119
7971,12,95,31830
9107,12,3,30407
4040,12,48,31585
3871,12,27,33426
2802,12,20,44731
8436,12,70,23623
5709,12,58,16307
11845,12,31,32935
1649,12,61,7851
6266,13,100,627
8218,13,71,4826
2271,13,53,9073
8293,13,28,3850
5202,13,14,44914
2971,13,72,48384
9994,13,57,27542
9273,13,32,25258
7054,13,62,48218
4029,13,68,46332
11319,14,78,36211
6384,14,2,3925
9105,14,33,2253
7270,14,16,44118
11988,14,16,47413
1086,14,12,35469
11796,14,6,32086
6946,14,14,35334
5493,14,55,9964
4000,14,9,2112
601,15,37,10627
10288,15,92,19540
10023,15,44,46393
10861,15,27,41704
10088,15,5,19077
6204,15,5,42119
7249,15,33,49973
1536,15,46,24256
11053,15,95,24643
10176,15,68,37123
4320,16,61,40697
164,16,41,4818
3243,16,29,29540
1943,16,73,46772
5961,16,26,30170
1763,16,32,9632
9162,16,24,851
9953,16,72,10363
11541,16,79,22289
11290,16,13,28695
6053,17,61,38653
6655,17,61,13315
11036,17,3,25554
461,17,81,20900
1788,17,15,10765
8742,17,62,34523
9881,17,61,32200
81,17,98,11245
32,17,55,41210
9887,17,64,24786
9959,18,91,41428
8095,18,0,4733
4491,18,67,13768
6034,18,71,17811
8083,18,87,34156
10689,18,7,22441
5822,18,97,45604
1493,18,3,35561
5068,18,11,24394
10349,18,16,27783
2102,19,79,47787
5971,19,45,32643
9093,19,75,39183
11214,19,87,6751
2432,19,45,24872
7033,19,85,4298
7569,19,17,49057
3907,19,63,3038
10611,19,94,7683
6823,19,57,6009
7998,20,59,16951
5936,20,61,27890
9505,20,75,22009
11779,20,27,42455
10827,20,64,20055
10035,20,95,46491
2034,20,79,18524
8598,20,96,23766
5821,20,74,41377
10871,20,99,28945
4935,21,44,17599
11527,21,9,17922
11867,21,69,27356
1973,21,42,33166
6288,21,75,33811
8242,21,38,29533
4777,21,16,34299
2036,21,65,41023
9303,21,83,32026
5821,21,64,30925
11205,22,42,37740
2267,22,7,10338
3310,22,83,18631
1738,22,66,40176
8299,22,5,31586
2301,22,21,47557
742,22,64,7727
2847,22,18,809
3854,22,75,3291
7595,22,59,31235
8553,23,67,5847
6233,23,95,42777
8174,23,69,7970
7639,23,26,21087
109,23,29,42985
2227,23,18,34065
6161,23,96,14044
7785,23,78,41473
4708,23,31,9135
937,23,31,8197
7135,24,2,14535
2629,24,94,19911
11759,24,19,32941
7061,24,95,34022
3181,24,56,23933
